artist_id,artist_name,generation,nationality,works
137,Gary Simmons,1960s,American,5
100,Eva Koťátková,1980s,Czech,4
166,Laure Prouvost,1970s,French,3
140,Martha Jungwirth,1940s,Austrian,3
136,Noa Eshkol,1920s,Israeli,3
138,Ali Banisadr,1970s,Iranian-American,3
90,Ce Jian,1980s,Chinese,3
160,Michael Elmgreen & Ingar Dragset,Unknown,"Danish, Norwegian",3
29,Georg Baselitz,1930s,German,3
14,Rita Ackermann,1960s,匈牙利裔美国人 (Hungarian-American),3
21,Etienne Chambaud,1980s,French,2
1,Maria Farrar,1980s,菲律宾裔，成长于日本，现居英国,2
41,Babajide Olatunji,1980s,Nigerian,2
39,Ni Zhiqi,1950s,Chinese,2
73,Marilyn Minter,1940s,American,2
46,Zhu Jinshi,1950s,Chinese,2
124,Dominic Chambers,1990s,American,2
116,Alice Neel,1900s,American,2
111,Hiroshi Sugimoto,1940s,Japanese,2
102,Rosemarie Trockel,1950s,German,2
99,Jan Zöller,1990s,German,2
98,Peppi Bottrop,1980s,German,2
87,He Xiangyu,1980s,Chinese,2
95,Miriam Cahn,1940s,Swiss,2
141,Nicola Tyson,1960s,British,2
131,Lee Bul,1960s,South Korean,2
142,Paloma Varga Weisz,1960s,German,2
155,Kevin Francis Gray,1970s,Irish / Northern Irish,2
134,Chantal Joffe,1960s,British,2
50,Wang You,1980s,China,1
48,Elmgreen & Dragset,1990s,Danish / Norwegian,1
49,Yan Pei-Ming,1960s,Chinese / French,1
42,Duke Asidere,1960s,Nigerian,1
37,Peter Peri,1970s,British,1
33,Cameron Welch,1990s,American,1
32,Glenn Brown,1960s,British,1
31,Takashi Murakami,1960s,Japanese,1
28,Ed Ruscha,1930s,American,1
40,Zhu Peihong,1980s,Chinese,1
38,Maggi Hambling,1940s,British,1
5,Maurizio Cattelan,1960s,Italy (Padua),1
6,Alvaro Barrington,1980s,Venezuela/Grenada/Haiti/USA/UK,1
20,Simon Fujiwara,1980s,British-Japanese,1
19,Philippe Parreno,1960s,French,1
26,Thomas Houseago,1970s,British,1
24,Katharina Grosse,1960s,German,1
16,Francesco Clemente,1950s,Italian,1
18,Daniel Steegmann Mangrané,1970s,Spanish,1
8,Zeng Fanzhi,1960s,中国,1
9,Rosa Barba,1970s,German,1
81,Chen Qiang,1960s,Chinese,1
80,Tomasz Kręcicki,1990s,Polish,1
79,Sojourner Truth Parsons,1980s,Canadian-American,1
76,Ann Veronica Janssens,1950s,Belgian,1
74,Lynne Drexler,1920s,American,1
72,Ted Pim,1980s,British (Northern Irish),1
70,Robert Zhao Renhui,1980s,Singapore,1
69,Zhang Enli,1960s,Chinese,1
65,Shen Fan,1950s,Chinese,1
68,Yang Fudong,1970s,China,1
67,Xu Zhen,1970s,Chinese,1
66,Su Chang,1980s,Chinese,1
62,Geng Jianyi,1960s,中国,1
64,Liu Yi,1990s,China,1
61,Ding Yi,1960s,Chinese,1
56,Theaster Gates,1970s,American,1
44,Samson Akinnire,1980s,Nigerian,1
55,Park Seo-Bo,1930s,South Korean,1
54,Marina Rheingantz,1980s,Brazilian,1
52,Zhao Zhao,1980s,Chinese,1
51,Yan Ping,1950s,Chinese,1
97,Katinka Bock,1970s,German,1
105,Arcangelo Sassolino,1960s,Italian,1
103,Thea Djordjadze,1970s,Georgian,1
101,Anne Imhof,1970s,German,1
89,Qin Jun,1980s,Chinese,1
93,Zhang Zipiao,1990s,Chinese,1
85,Qu Fengguo,1960s,Chinese,1
83,Huang Yuanqing,1960s,Chinese,1
96,Ulla von Brandenburg,1970s,German,1
84,Qi Lei,1980s,Chinese,1
82,Fu Xiaotong,1970s,Chinese,1
123,Chen Yingjie,1990s,Chinese,1
120,Louise Bourgeois,1910s,French-American,1
118,Cassi Namoda,1980s,Mozambican,1
117,Peter Doig,1950s,British,1
114,Yoan Capote,1970s,Cuban,1
113,Eva Jospin,1970s,French,1
112,Alejandro Campins,1980s,Cuban,1
110,Carsten Höller,1960s,Belgian-German,1
104,Adel Abdessemed,1970s,"Algerian, French",1
109,Carlos Cruz-Diez,1920s,Venezuelan,1
108,Juan Araujo,1970s,Venezuelan,1
107,Anish Kapoor,1950s,British / Indian,1
132,Loriel Beltrán,1980s,Venezuelan-American,1
130,Lari Pittman,1950s,American,1
129,Heidi Bucher,1920s,Swiss,1
128,Billy Childish,1950s,British,1
133,Erwin Wurm,1950s,Austrian,1
135,Tom Friedman,1960s,American,1
127,Zhou Chunya,1950s,Chinese,1
125,Shi Chong,1960s,Chinese,1
149,Kiki Smith,1950s,American,1
148,Daniel Crews-Chubb,1980s,British,1
161,Cheyney Thompson,1970s,American,1
146,Alicia Adamerovich,1980s,American,1
162,Olga de Amaral,1930s,Colombian,1
163,Bernard Piffaretti,1950s,French,1
164,Cory Arcangel,1970s,American,1
165,Christopher Mark Le Brun,1950s,British,1
167,Liu Xiaodong,1960s,Chinese,1
169,Shen Haopeng,1950s,Chinese,1
170,Shirazeh Houshiary,1950s,British/Iranian,1
172,Yu Hong,1960s,Chinese,1
