artist_id,artist_name,generation,nationality,works
1,Maria Farrar,1980s,菲律宾裔，成长于日本，现居英国,1
6,Alvaro Barrington,1980s,Venezuela/Grenada/Haiti/USA/UK,1
12,Yayoi Kusama,1920s,Japanese,1
53,Andreas Gursky,1950s,German,1
63,Liang Shaoji,1940s,Chinese,1
65,Shen Fan,1950s,Chinese,1
81,Chen Qiang,1960s,Chinese,1
85,Qu Fengguo,1960s,Chinese,1
118,Cassi Namoda,1980s,Mozambican,1
136,Noa Eshkol,1920s,Israeli,1
137,Gary Simmons,1960s,American,1
138,Ali Banisadr,1970s,Iranian-American,1
141,Nicola Tyson,1960s,British,1
142,Paloma Varga Weisz,1960s,German,1
146,Alicia Adamerovich,1980s,American,1
171,Tony Oursler,1950s,American,1
173,Julian Opie,1950s,British,1
