artist_id,artist_name,generation,nationality,works
137,Gary Simmons,1960s,American,5
100,Eva Koťátková,1980s,Czech,4
166,Laure Prouvost,1970s,French,3
140,Martha Jungwirth,1940s,Austrian,3
136,Noa Eshkol,1920s,Israeli,3
138,Ali Banisadr,1970s,Iranian-American,3
90,Ce Jian,1980s,Chinese,3
160,Michael Elmgreen & Ingar Dragset,Unknown,"Danish, Norwegian",3
29,Georg Baselitz,1930s,German,3
14,Rita Ackermann,1960s,匈牙利裔美国人 (Hungarian-American),3
21,Etienne Chambaud,1980s,French,2
1,Maria Farrar,1980s,菲律宾裔，成长于日本，现居英国,2
41,Babajide Olatunji,1980s,Nigerian,2
39,Ni Zhiqi,1950s,Chinese,2
73,Marilyn Minter,1940s,American,2
46,Zhu Jinshi,1950s,Chinese,2
124,Dominic Chambers,1990s,American,2
116,Alice Neel,1900s,American,2
111,Hiroshi Sugimoto,1940s,Japanese,2
102,Rosemarie Trockel,1950s,German,2
99,Jan Zöller,1990s,German,2
98,Peppi Bottrop,1980s,German,2
